Latitude,Longitude,SST,Number,season,Bathymetry,BathymetrySD,Dist2Coast,Season2,Nitrate,MLD,Chl,pa,Preds
-10,153,28.26659,0,octoberdec,-1.837788,909.7963,61.71238,2,0.219082,24.96576,0.117318,0,0.05562886581175598
-10,153,26.85297,0,julsept,-1.837788,909.7963,61.71238,4,0,35.20461,0.145649,0,0.059697316391782024
-10,153,27.97652,0,apriljune,-1.837788,909.7963,61.71238,3,0.235529,27.76378,0.134252,0,0.03531368144203748
-10,154,28.16058,0,apriljune,-3.205649,627.0285,95.41066,3,0.237397,28.79065,0.120892,0,0.02853002614306152
-10,154,29.24827,0,janmarch,-3.205649,627.0285,95.41066,2,0.045125,19.10011,0.09807,0,0.029881918019244183
-10,154,27.03732,0,julsept,-3.205649,627.0285,95.41066,4,0,36.14832,0.138661,0,0.050114325596528654
-10,154,28.46468,0,octoberdec,-3.205649,627.0285,95.41066,2,0.248558,26.2626,0.122705,0,0.04017971055794787
-10,155,27.20082,0,julsept,-3.479252,305.1015,165.8004,4,0,37.17322,0.136059,0,0.04089321249150686
-10,155,29.33077,0,janmarch,-3.479252,305.1015,165.8004,2,0.052549,20.04612,0.107331,0,0.0226612366790643
-10,155,28.57153,0,octoberdec,-3.479252,305.1015,165.8004,2,0.26457,26.92523,0.129608,0,0.030483998150333272
-10,155,28.33193,0,apriljune,-3.479252,305.1015,165.8004,3,0.24202099999999999,30.08725,0.125505,0,0.021075940472223713
-10,156,27.35497,0,julsept,-3.622257,376.9205,211.812,4,0,38.83638,0.147135,0,0.03102854756718634
-10,156,28.59759,0,octoberdec,-3.622257,376.9205,211.812,2,0.247376,27.43214,0.118269,0,0.026947271154460606
-10,156,28.48215,0,apriljune,-3.622257,376.9205,211.812,3,0.213177,31.95222,0.122665,0,0.016535715698260803
-10,157,27.50338,0,julsept,-3.792769,463.8059,188.9285,4,0,40.79409,0.15884,0,0.023459775194393948
-10,157,28.64064,0,octoberdec,-3.792769,463.8059,188.9285,2,0.243055,28.03745,0.111745,0,0.02312123664741398
-10,157,29.34361,0,janmarch,-3.792769,463.8059,188.9285,2,0.081474,20.96471,0.112444,0,0.01552004444243863
-10,157,28.60852,0,apriljune,-3.792769,463.8059,188.9285,3,0.191844,33.4515,0.141923,0,0.011817617955790389
-10,158,27.64833,0,julsept,-3.084244,1301.276,140.8059,4,0.04994,41.73148,0.179597,0,0.016571900422652674
-10,158,28.69516,0,octoberdec,-3.084244,1301.276,140.8059,2,0.185996,28.30869,0.139101,0,0.01698151657359431
-10,158,29.34437,0,janmarch,-3.084244,1301.276,140.8059,2,0.126299,20.6285,0.110379,0,0.013217422431752779
-10,158,28.70336,0,apriljune,-3.084244,1301.276,140.8059,3,0.170716,33.76932,0.145102,0,0.009472722932645507
-10,159,28.71649,1,octoberdec,-1.890491,1404.882,67.91228,2,0.107725,29.20871,0.168148,1,0.013008598268023568
-10,159,28.73346,0,apriljune,-1.890491,1404.882,67.91228,3,0.110943,33.45333,0.164741,0,0.007509844843261622
-10,161,27.93105,0,julsept,-1.486037,838.7468,16.20443,4,0,41.16712,0.133248,0,0.013080536839681663
-10,161,28.73222,0,octoberdec,-1.486037,838.7468,16.20443,2,3.3e-4,29.91281,0.128885,0,0.013394214359543742
-10,162,27.93429,0,julsept,-3.96382,1121.761,34.38883,4,5.22e-4,41.00873,0.106095,0,0.013894266582952971
-10,162,28.74162,0,apriljune,-3.96382,1121.761,34.38883,3,0.001472,28.10644,0.127753,0,0.007109303110336264
-10,162,28.73365,0,octoberdec,-3.96382,1121.761,34.38883,2,5.62e-4,31.42217,0.086228,0,0.015427590419089133
